Stock Name,Code,Date,Price,Open,High,Low,Volume,Change%
Ayala Corp Pref B,ACPB2,"Jul 15, 2019",496,495,496,483,2.90K,1.22%
Ayala Corp Pref B,ACPB2,"Jul 12, 2019",490,483.2,490,483,0.61K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 11, 2019",490,490,490,490,0.11K,-1.41%
Ayala Corp Pref B,ACPB2,"Jul 09, 2019",497,490,497,485,4.06K,0.20%
Ayala Corp Pref B,ACPB2,"Jul 04, 2019",496,496,497,496,0.93K,1.18%
Ayala Corp Pref B,ACPB2,"Jul 03, 2019",490.2,490.2,490.2,490.2,0.03K,0.04%
Ayala Corp Pref B,ACPB2,"Jul 02, 2019",490,495,495,490,0.10K,-1.41%
Ayala Corp Pref B,ACPB2,"Jul 01, 2019",497,486,497,486,0.06K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 28, 2019",497,493,497,493,1.99K,1.02%
Ayala Corp Pref B,ACPB2,"Jun 27, 2019",492,487,492,487,0.06K,-0.20%
Ayala Corp Pref B,ACPB2,"Jun 26, 2019",493,487,493,486,0.90K,0.61%
Ayala Corp Pref B,ACPB2,"Jun 25, 2019",490,486,490,486,0.82K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 24, 2019",490,494,494,490,2.50K,-1.80%
Ayala Corp Pref B,ACPB2,"Jun 20, 2019",499,499,499,499,0.01K,2.67%
Ayala Corp Pref B,ACPB2,"Jun 19, 2019",486,486,486,486,3.36K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 18, 2019",486,497,497,486,0.56K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 17, 2019",486,487,487,486,0.70K,-1.82%
Ayala Corp Pref B,ACPB2,"Jun 11, 2019",495,495,495,495,0.05K,0.00%
Ayala Corp Pref B,ACPB2,"Jun 10, 2019",495,487,495,483,1.95K,-0.20%
Ayala Corp Pref B,ACPB2,"Jun 07, 2019",496,496,496,496,1.05K,-0.20%
Ayala Corp Pref B,ACPB2,"Jun 06, 2019",497,487,498,487,3.02K,-0.40%
Ayala Corp Pref B,ACPB2,"Jun 04, 2019",499,499,499,499,0.01K,1.84%
Ayala Corp Pref B,ACPB2,"Jun 03, 2019",490,490,490,483,3.76K,0.00%
Ayala Corp Pref B,ACPB2,"May 31, 2019",490,490,490,489.8,0.25K,1.03%
Ayala Corp Pref B,ACPB2,"May 29, 2019",485,486.8,486.8,485,1.00K,0.37%
Ayala Corp Pref B,ACPB2,"May 28, 2019",483.2,483.2,499,483.2,0.07K,-3.17%
Ayala Corp Pref B,ACPB2,"May 27, 2019",499,499,499,499,0.01K,2.89%
Ayala Corp Pref B,ACPB2,"May 24, 2019",485,485,485,485,1.20K,0.37%
Ayala Corp Pref B,ACPB2,"May 23, 2019",483.2,486,486,483.2,5.00K,-1.39%
Ayala Corp Pref B,ACPB2,"May 21, 2019",490,498,498,490,0.35K,0.62%
Ayala Corp Pref B,ACPB2,"May 16, 2019",487,487,487,487,0.05K,-2.60%
Ayala Corp Pref B,ACPB2,"May 15, 2019",500,490,500,485,1.01K,0.40%
Ayala Corp Pref B,ACPB2,"May 10, 2019",498,495,498,495,3.39K,0.81%
Ayala Corp Pref B,ACPB2,"May 09, 2019",494,494,494,494,2.00K,-0.20%
Ayala Corp Pref B,ACPB2,"May 07, 2019",495,485,495,485,1.04K,-0.60%
Ayala Corp Pref B,ACPB2,"Apr 30, 2019",498,498,498,498,0.01K,0.20%
Ayala Corp Pref B,ACPB2,"Apr 29, 2019",497,497,497.2,497,5.78K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 26, 2019",497,497,497,497,0.20K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 25, 2019",497,497,497,497,0.07K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 24, 2019",497,497,497,497,0.07K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 22, 2019",497,485,497,485,0.02K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 12, 2019",497,490,497,490,6.50K,0.24%
Ayala Corp Pref B,ACPB2,"Apr 10, 2019",495.8,495.8,495.8,495.8,0.01K,3.08%
Ayala Corp Pref B,ACPB2,"Apr 08, 2019",481,481,485,481,0.70K,-0.82%
Ayala Corp Pref B,ACPB2,"Apr 05, 2019",485,485,485,480,0.37K,-1.02%
Ayala Corp Pref B,ACPB2,"Apr 04, 2019",490,490,490,490,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 03, 2019",490,495,495,490,0.43K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 02, 2019",490,490,490,490,0.10K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 01, 2019",490,455,497,455,0.60K,-1.41%
Ayala Corp Pref B,ACPB2,"Mar 28, 2019",497,497.2,497.2,497,1.19K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 27, 2019",497,490,497,490,1.02K,-0.04%
Ayala Corp Pref B,ACPB2,"Mar 26, 2019",497.2,496,497.2,496,10.29K,-0.08%
Ayala Corp Pref B,ACPB2,"Mar 19, 2019",497.6,497.8,497.8,497.6,0.02K,2.81%
Ayala Corp Pref B,ACPB2,"Mar 18, 2019",484,484,484,484,1.60K,-1.22%
Ayala Corp Pref B,ACPB2,"Mar 15, 2019",490,495,495,490,0.20K,-1.41%
Ayala Corp Pref B,ACPB2,"Mar 12, 2019",497,497,497,497,0.01K,1.43%
Ayala Corp Pref B,ACPB2,"Mar 11, 2019",490,483,490,481.6,1.50K,-1.41%
Ayala Corp Pref B,ACPB2,"Mar 08, 2019",497,497,497,497,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 07, 2019",497,497,497,497,0.01K,1.43%
Ayala Corp Pref B,ACPB2,"Mar 06, 2019",490,481,497,481,0.23K,-1.41%
Ayala Corp Pref B,ACPB2,"Mar 05, 2019",497,497,497,497,0.13K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 04, 2019",497,481.6,497,480,5.42K,1.43%
Ayala Corp Pref B,ACPB2,"Mar 01, 2019",490,490,490,490,1.89K,0.00%
Ayala Corp Pref B,ACPB2,"Feb 28, 2019",490,490,490,490,0.31K,0.00%
Ayala Corp Pref B,ACPB2,"Feb 27, 2019",490,490,490,490,0.69K,0.00%
Ayala Corp Pref B,ACPB2,"Feb 26, 2019",490,481,490,481,0.14K,-1.61%
Ayala Corp Pref B,ACPB2,"Feb 19, 2019",498,498,498,480,6.61K,-0.08%
Ayala Corp Pref B,ACPB2,"Feb 15, 2019",498.4,482,498.4,482,0.06K,0.08%
Ayala Corp Pref B,ACPB2,"Feb 13, 2019",498,498,498,498,0.01K,3.75%
Ayala Corp Pref B,ACPB2,"Feb 12, 2019",480,498,498,480,4.02K,-3.61%
Ayala Corp Pref B,ACPB2,"Feb 11, 2019",498,498,498,498,0.22K,1.63%
Ayala Corp Pref B,ACPB2,"Feb 08, 2019",490,492,492,490,0.79K,-1.01%
Ayala Corp Pref B,ACPB2,"Feb 07, 2019",495,495,495,495,0.02K,0.81%
Ayala Corp Pref B,ACPB2,"Feb 04, 2019",491,491,491.2,491,16.89K,0.20%
Ayala Corp Pref B,ACPB2,"Feb 01, 2019",490,498,498,490,5.96K,-1.80%
Ayala Corp Pref B,ACPB2,"Jan 29, 2019",499,498,499,498,0.39K,0.20%
Ayala Corp Pref B,ACPB2,"Jan 28, 2019",498,498,498,498,0.05K,0.00%
Ayala Corp Pref B,ACPB2,"Jan 25, 2019",498,498,498,498,1.00K,0.08%
Ayala Corp Pref B,ACPB2,"Jan 23, 2019",497.6,497.4,497.6,497.4,10.00K,-0.08%
Ayala Corp Pref B,ACPB2,"Jan 22, 2019",498,495,498,495,13.09K,0.65%
Ayala Corp Pref B,ACPB2,"Jan 21, 2019",494.8,494.8,494.8,494.8,4.00K,-0.60%
Ayala Corp Pref B,ACPB2,"Jan 18, 2019",497.8,497.8,497.8,497.8,0.02K,0.36%
Ayala Corp Pref B,ACPB2,"Jan 17, 2019",496,495,496,495,1.08K,0.20%
Ayala Corp Pref B,ACPB2,"Jan 15, 2019",495,495,495,495,0.06K,-0.56%
Ayala Corp Pref B,ACPB2,"Jan 10, 2019",497.8,490,497.8,490,4.95K,0.00%
Ayala Corp Pref B,ACPB2,"Jan 09, 2019",497.8,480,497.8,480,2.01K,-0.24%
